0.14757,0.18057,0.21616,0.25402,0.29389,0.33551,0.37866,0.42315,0.4688,0.51546,0.56298,0.61124,0.6601,0.70945,0.7592
0.12409,0.1528,0.18397,0.21734,0.25267,0.28972,0.3283,0.36824,0.40936,0.45153,0.49461,0.53847,0.583,0.62808,0.67361
0.10727,0.13294,0.161,0.1912,0.22334,0.25721,0.29261,0.3294,0.3674,0.40649,0.44653,0.48739,0.52898,0.57118,0.61389
0.094437,0.11779,0.14347,0.17128,0.20101,0.23247,0.2655,0.29993,0.33562,0.37242,0.41022,0.44889,0.48833,0.52844,0.56911
0.084194,0.10569,0.12947,0.15536,0.18317,0.21274,0.24388,0.27646,0.31032,0.34535,0.3814,0.41838,0.45617,0.49467,0.53379
0.075749,0.095697,0.1179,0.1422,0.16843,0.19642,0.22602,0.25708,0.28946,0.32303,0.35768,0.39329,0.42976,0.46699,0.50488
0.068613,0.08724,0.10809,0.13104,0.15591,0.18257,0.21085,0.24063,0.27176,0.30412,0.3376,0.37207,0.40745,0.44363,0.48051
0.062468,0.079942,0.099614,0.12137,0.14506,0.17055,0.1977,0.22636,0.25641,0.28773,0.3202,0.35371,0.38816,0.42345,0.45949
0.057093,0.073543,0.092163,0.11286,0.1355,0.15995,0.18609,0.21377,0.24287,0.27327,0.30486,0.33753,0.37118,0.40571,0.44103
0.052335,0.067865,0.085534,0.10527,0.12696,0.15048,0.1757,0.2025,0.23074,0.26033,0.29113,0.32305,0.35599,0.38985,0.42454
0.048078,0.062772,0.079574,0.098431,0.11925,0.14191,0.1663,0.19228,0.21976,0.24859,0.27869,0.30994,0.34224,0.3755,0.40963
0.044238,0.058167,0.074169,0.092214,0.11222,0.13409,0.1577,0.18294,0.2097,0.23785,0.2673,0.29793,0.32965,0.36237,0.39599
0.040748,0.053973,0.069233,0.086521,0.10577,0.1269,0.14979,0.17433,0.20041,0.22793,0.25677,0.28683,0.31802,0.35024,0.3834
0.037555,0.05013,0.064697,0.081274,0.099815,0.12024,0.14245,0.16633,0.19178,0.2187,0.24697,0.2765,0.30719,0.33894,0.37167
0.034617,0.046591,0.060508,0.076414,0.094282,0.11404,0.1356,0.15886,0.18371,0.21006,0.23779,0.26681,0.29703,0.32835,0.36068
