0.14896,0.18225,0.21814,0.25631,0.29649,0.33842,0.38188,0.42668,0.47264,0.51961,0.56744,0.61599,0.66514,0.71478,0.7648
0.12531,0.15428,0.18573,0.21938,0.25499,0.29233,0.33121,0.37143,0.41285,0.45531,0.49867,0.54281,0.58761,0.63296,0.67875
0.10837,0.13429,0.1626,0.19307,0.22548,0.25962,0.2953,0.33236,0.37064,0.41,0.45031,0.49145,0.5333,0.57576,0.61873
0.095445,0.11903,0.14496,0.17302,0.20301,0.23474,0.26803,0.30273,0.33868,0.37575,0.41381,0.45275,0.49245,0.53281,0.57373
0.08513,0.10684,0.13086,0.157,0.18506,0.21488,0.24629,0.27912,0.31325,0.34853,0.38485,0.42209,0.46013,0.49888,0.53825
0.076625,0.096786,0.11922,0.14376,0.17023,0.19847,0.22832,0.25964,0.29228,0.32611,0.36102,0.39688,0.4336,0.47107,0.50921
0.069439,0.088272,0.10935,0.13252,0.15763,0.18454,0.21307,0.2431,0.27449,0.30711,0.34083,0.37557,0.41119,0.44762,0.48474
0.063249,0.080923,0.10081,0.12279,0.14672,0.17245,0.19985,0.22876,0.25907,0.29064,0.32336,0.35712,0.39182,0.42736,0.46365
0.057836,0.07448,0.09331,0.11423,0.1371,0.1618,0.18818,0.21611,0.24546,0.27611,0.30796,0.34088,0.37478,0.40955,0.44512
0.053042,0.068761,0.086637,0.10659,0.12851,0.15227,0.17773,0.20478,0.23328,0.26311,0.29417,0.32634,0.35953,0.39364,0.42858
0.048754,0.063632,0.080636,0.099709,0.12075,0.14365,0.16828,0.19452,0.22224,0.25133,0.28168,0.31318,0.34573,0.37924,0.41362
0.044885,0.058992,0.075193,0.093452,0.11369,0.13579,0.15964,0.18513,0.21213,0.24054,0.27024,0.30113,0.3331,0.36607,0.39994
0.041368,0.054767,0.070221,0.08772,0.1072,0.12855,0.15168,0.17647,0.20281,0.23058,0.25967,0.28999,0.32143,0.3539,0.38732
0.038151,0.050894,0.065652,0.082437,0.1012,0.12186,0.1443,0.16844,0.19414,0.22131,0.24984,0.27962,0.31056,0.34257,0.37556
0.035191,0.047327,0.061431,0.077544,0.095631,0.11562,0.13742,0.16093,0.18603,0.21263,0.24062,0.2699,0.30038,0.33195,0.36454
