,a1,a2,a3,a4,a5,a6,a7,b1,b2
H2O,-39479.6083,575.573102,0.931782653,0.00722271286,-7.34255737e-06,4.95504349e-09,-1.336933246e-12,-33039.7431,17.24205775
OH,-1998.85899,93.0013616,3.050854229,0.001529529288,-3.157890998e-06,3.31544618e-09,-1.138762683e-12,3239.68348,4.67411079
H,0.0,0.0,2.5,0.0,0.0,0.0,0.0,25473.70801,-0.446682853
H2,40783.2281,-800.918545,8.21470167,-0.0126971436,1.75360493e-05,-1.20286016e-08,3.36809316e-12,2682.48438,-30.4378866
H2O2,-92795.3358,1564.748385,-5.97646014,0.0327074452,-3.93219326e-05,2.509255235e-08,-6.46504529e-12,-24940.04728,58.7717418
O,-7953.6113,160.7177787,1.966226438,0.00101367031,-1.110415423e-06,6.5175075e-10,-1.584779251e-13,28403.62437,8.40424182
HO2,-75988.8254,1329.383918,-4.67738824,0.02508308202,-3.006551588e-05,1.895600056e-08,-4.82856739e-12,-5809.36643,51.9360214
O2,-34255.6342,484.700097,1.119010961,0.00429388924,-6.83630052e-07,-2.0233727e-09,1.039040018e-12,-3391.45487,18.4969947
Ar,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-745.375,4.37967491
